	Control1	Control2	Control3	Control4	Control5	Case1	Case2	Case3	Case4	Case5	Outgroup1	Outgroup2	Outgroup3	Outgroup4	Outgroup5
Lipid;Fatty Acid, Monohydroxy;3-hydroxysebacate	1.2676	1.2394	0.9485	1.4493	0.5579	0.5963	1.1678	1.831	1.3163	1.0515	0.8396	0.784	1.8243	1.3518	0.751
Amino Acid;Tryptophan Metabolism;3-indoxyl sulfate	1.0914	0.9338	0.767	0.5682	0.7944	1.5816	1.0008	0.9992	1.0508	0.6677	0.6592	1.7511	0.663	0.8794	1.2604
Amino Acid;Phenylalanine and Tyrosine Metabolism;3-methoxytyrosine	1.4527	0.9658	0.9039	1.4337	2.3557	0.8851	1.628	0.6697	1.7105	2.3689	1.801	1.5225	0.9877	1.0651	1.7215
Amino Acid;Leucine, Isoleucine and Valine Metabolism;3-methyl-2-oxobutyrate	1.0173	1.007	1.1698	0.6976	1.0102	0.752	0.79	1.3981	1.0919	1.5096	1.0497	0.7239	1.0794	0.6358	0.6502
Amino Acid;Leucine, Isoleucine and Valine Metabolism;3-methyl-2-oxovalerate	1.1839	1.3348	1.0808	0.4821	0.988	0.9617	1.0584	2.3546	1.4774	1.6371	1.5112	0.9394	1.012	0.7662	0.7643
Lipid;Fatty Acid, Dicarboxylate;3-methyladipate	0.5791	0.971	0.5791	0.5791	0.7633	0.5791	0.5791	0.5791	0.9601	0.5791	0.6508	2.1023	1.1635	2.2792	0.5791
Amino Acid;Leucine, Isoleucine and Valine Metabolism;3-methylcrotonylglycine	1.5373	0.9317	0.4868	0.4816	0.7394	0.6314	0.4816	2.5308	0.9894	0.7207	1.7054	0.7355	0.72	1.1436	1.2041
Amino Acid;Leucine, Isoleucine and Valine Metabolism;3-methylglutaconate	1.0969	1.7034	0.1933	0.1933	0.9197	0.4692	0.9021	0.7258	0.1933	1.4216	1.1278	1.6351	1.2593	0.1933	0.2032
Amino Acid;Lysine Metabolism;3-methylglutarylcarnitine (1)	0.6043	0.6479	0.5147	0.6887	0.5495	0.5282	0.6174	0.226	0.964	0.8909	1.3609	1.4171	1.2506	1.4904	1.036
Amino Acid;Histidine Metabolism;3-methylhistidine	1.0007	0.8597	0.8726	0.4851	0.9025	0.9977	1.0629	0.7714	0.9887	0.9984	1.3145	1.2405	1.2216	1.3165	0.9993
Amino Acid;Phenylalanine and Tyrosine Metabolism;3-phenylpropionate (hydrocinnamate)	0.3203	8.1267	1.1547	0.3203	1	1.2356	1.0202	0.3203	0.8584	0.3203	0.3203	0.3203	0.3203	0.3203	0.3203
Carbohydrate;Glycolysis, Gluconeogenesis, and Pyruvate Metabolism;3-phosphoglycerate	0.6997	3.2544	2.5763	8.5862	2.0498	0.7732	1.1945	1.2437	0.9769	0.7389	1.2606	1.0221	0.8809	0.534	0.9256
Nucleotide;Pyrimidine Metabolism, Uracil containing;3-ureidopropionate	0.3974	0.7718	0.389	0.1873	0.7687	0.9856	0.7401	0.3563	1.0144	0.9393	1.0641	2.892	2.2271	2.6321	1.9935
Amino Acid;Polyamine Metabolism;4-acetamidobutanoate	0.9391	0.6155	0.5495	0.6426	0.7732	0.5657	0.6782	0.7181	0.9509	0.9426	1.9448	1.1935	1.559	1.5359	1.4604
Amino Acid;Guanidino and Acetamido Metabolism;4-guanidinobutanoate	1.6381	1.3675	0.6298	1.9284	0.6904	0.5139	0.5926	0.4734	1.2518	0.7192	1.4982	1.1483	0.9157	1.2951	1.0142
Amino Acid;Phenylalanine and Tyrosine Metabolism;4-hydroxycinnamate sulfate	2.4866	1.5177	0.8611	0.665	1.1427	0.9505	3.3758	3.3673	1.3601	1.181	0.4443	0.7489	0.7945	1.7842	0.6758
Xenobiotics;Benzoate Metabolism;4-hydroxyhippurate	1.5756	1.3028	0.4945	0.4258	0.9762	0.7679	0.7862	0.7045	0.9265	0.6344	1.3231	1.0074	1.0526	1.1053	1.1999
Amino Acid;Phenylalanine and Tyrosine Metabolism;4-hydroxyphenylacetate	0.8302	0.8302	0.8302	0.8302	0.8302	0.8302	0.8302	0.8302	0.8302	1.1005	0.9649	0.8302	0.8302	0.9961	1.1722
Amino Acid;Phenylalanine and Tyrosine Metabolism;4-hydroxyphenylpyruvate	1.0002	1.021	0.8024	0.4382	0.8984	0.9756	0.7478	0.4909	0.8872	1.0135	0.9214	1.0623	2.0419	1.0952	0.8664
Amino Acid;Histidine Metabolism;4-imidazoleacetate	1.0106	0.4839	0.484	0.6765	0.6226	0.4099	0.5072	0.7228	0.5011	0.6271	1.5819	1.3802	1.745	0.9894	1.4482
Amino Acid;Leucine, Isoleucine and Valine Metabolism;4-methyl-2-oxopentanoate	0.9688	1.2106	1.0041	0.5036	0.7556	1.0196	1.0308	1.9735	1.5742	1.8012	1.2652	0.9655	1.2115	0.7397	0.7395
Xenobiotics;Chemical;4-methylbenzenesulfonate	0.9943	1.0057	0.9669	1.3246	1.0623	0.8988	0.847	0.7192	0.9025	0.6933	1.0934	1.1594	1.2931	1.2847	1.0705
Xenobiotics;Benzoate Metabolism;4-methylcatechol sulfate	2.6754	4.0802	1	0.4419	0.4419	0.5005	0.4419	0.4419	0.4419	0.4419	0.4419	0.4419	0.4419	0.4419	0.4419
Xenobiotics;Benzoate Metabolism;4-vinylphenol sulfate	25.9798	1.7443	1	4.8475	1.5751	0.2558	0.2915	1.1487	0.2858	0.2105	0.5933	0.2258	0.2531	0.2105	0.2713
Nucleotide;Pyrimidine Metabolism, Thymine containing;5,6-dihydrothymine	0.5697	0.5257	0.596	1.3784	0.9101	0.5297	0.879	0.9623	0.8203	2.1078	0.6712	1.2494	3.1448	1.5773	1.5479
Nucleotide;Pyrimidine Metabolism, Uracil containing;5,6-dihydrouracil	0.3457	0.5461	0.2532	0.6932	0.8233	0.7947	0.5204	0.5987	0.9811	1.5565	1.2624	1.5084	2.5729	1.327	1.1295
Lipid;Medium Chain Fatty Acid;5-dodecenoate (12:1n7)	1.3981	0.974	0.9522	0.7264	1.026	0.5627	1.8626	0.2731	1.6025	1.8648	0.5966	0.9138	1.1708	0.7704	0.8075
Lipid;Fatty Acid, Monohydroxy;5-hydroxyhexanoate	0.8454	1.117	1.13	0.8278	1.1108	0.773	1.1522	0.4549	1.2994	1.6433	0.8423	1.0019	1.6042	0.9086	0.9424
Amino Acid;Tryptophan Metabolism;5-hydroxyindoleacetate	1.7165	0.7309	0.4879	1.1907	0.9962	0.9988	1.0503	1.1529	0.7719	1.0012	1.1758	0.9017	0.6932	0.9925	0.8459
Amino Acid;Lysine Metabolism;5-hydroxylysine	1.0237	1.0226	0.9176	0.5967	1.0634	0.8945	1.0513	0.542	0.9493	1.1459	1.086	1.1348	1.0622	0.9774	1.0716
Nucleotide;Pyrimidine Metabolism, Cytidine containing;5-methyl-2-deoxycytidine	0.8162	0.5615	0.6335	0.6625	0.8811	0.6971	0.8911	0.8464	0.7982	0.988	1.1519	1.242	1.5184	1.0967	1.112
Nucleotide;Pyrimidine Metabolism, Cytidine containing;5-methylcytidine	0.9617	1.1257	1.0487	0.7146	1.1374	0.9709	1.2422	0.6932	1.0348	1.28	0.8762	0.697	1.126	1.0151	0.9251
Amino Acid;Polyamine Metabolism;5-methylthioadenosine (MTA)	0.6056	0.5834	0.4158	0.4131	0.6937	0.6546	1.0764	0.4231	0.8712	1.0448	1.8935	1.3679	1.3167	0.9552	1.5828
Nucleotide;Pyrimidine Metabolism, Uracil containing;5-methyluridine (ribothymidine)	0.7766	0.9771	0.9606	0.5659	0.7877	0.8505	1.0676	0.5913	0.9557	1.2297	0.7233	1.189	2.4249	1.6799	1.9277
Amino Acid;Glutathione Metabolism;5-oxoproline	0.8696	1.1702	0.6979	0.7492	0.9492	0.715	0.8856	0.6084	1.0515	1.4272	1.1971	1.2754	1.123	1.0596	1.4357
Xenobiotics;Drug;6-oxopiperidine-2-carboxylic acid	1.4979	1.2751	1.0183	0.8235	1.842	0.9508	1.4323	0.9817	1.3022	0.6526	0.7347	1.4133	0.6778	0.6959	0.9025
Lipid;Sterol;7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	3.6837	4.0877	2.3555	0.2862	3.8174	3.1219	3.3645	2.3585	3.5211	3.7943	0.4408	0.3432	0.9762	0.4575	0.9067
Nucleotide;Purine Metabolism, Guanine containing;7-methylguanine	1.0646	0.6551	0.662	0.6349	0.8558	0.6691	0.7815	0.7103	0.8124	0.775	1.3218	1.1273	1.38	1.2745	1.0174
Lipid;Fatty Acid, Dihydroxy;9,10-DiHOME	0.7502	1.2498	2.4825	0.4469	1.2219	0.3847	1.3749	0.4346	1.4036	1.3863	0.3558	0.3558	0.7276	0.8795	0.3558
Lipid;Fatty Acid Metabolism(Acyl Carnitine);acetylcarnitine	0.8706	0.8461	0.9088	0.74	0.6665	0.8884	1.0311	0.5759	0.862	0.9518	1.1139	0.9979	1.2096	1.102	1.0494
Nucleotide;Purine Metabolism, Adenine containing;adenine	0.3957	0.9253	0.3706	0.595	0.53	1.1859	0.5914	0.9475	1.6956	1.2151	0.7559	5.8629	12.2741	6.559	8.8901
Nucleotide;Purine Metabolism, Adenine containing;adenosine	0.8673	1.6573	1.0324	1.2368	2.0043	2.3448	1.9108	2.0323	0.5446	1.1588	1.9061	0.5729	0.5962	0.8983	0.5957
Nucleotide;Purine Metabolism, Adenine containing;adenosine 3,5-cyclic monophosphate (cAMP)	1.2778	1.0885	0.9811	0.6927	0.9156	0.7909	1.3692	0.638	1.0391	1.0112	0.5606	0.9888	2.5966	1.6666	0.8736
Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;adenosine 5-diphosphoribose (ADP-ribose)	0.2236	1.7762	1.8228	6.7656	1.1307	0.2236	1.0748	3.7662	2.4256	0.8186	0.4608	0.2236	0.9252	0.4183	0.5932
Nucleotide;Purine Metabolism, Adenine containing;adenosine 5-monophosphate (AMP)	0.0836	1.3404	1.1347	5.9025	0.7924	0.3174	2.577	2.7833	2.4221	1.8264	0.9751	0.501	1.4383	0.5396	1.0249
Lipid;Fatty Acid, Dicarboxylate;adipate	1.0644	0.6925	0.7895	1.0481	0.8932	1.513	0.842	1.2098	0.8609	0.5531	1.224	1.078	1.0825	1.2781	1.0504
Lipid;Polyunsaturated Fatty Acid (n3 and n6);adrenate (22:4n6)	0.7359	0.8955	0.9038	1.393	0.9963	0.2849	1.3071	0.2199	1.1639	1.4528	1.0065	0.5653	1.0037	0.7686	0.6367
Amino Acid;Alanine and Aspartate Metabolism;alanine	0.739	1.1153	1.0159	0.6161	1.0161	0.8581	0.9434	0.653	0.8851	0.7464	0.9841	1.3393	1.1291	1.0287	1.0335
Nucleotide;Purine Metabolism, (Hypo)Xanthine/Inosine containing;allantoic acid	0.8207	0.4868	0.2	0.2	0.5772	0.7531	1.054	0.6074	0.946	0.6343	1.338	1.4098	1.2907	1.2478	1.3731
Nucleotide;Purine Metabolism, (Hypo)Xanthine/Inosine containing;allantoin	1.0158	0.7847	0.5533	0.6541	0.8596	0.8019	0.841	0.9338	0.8954	0.8665	1.4902	1.2242	1.4647	1.3006	1.2807
Amino Acid;Leucine, Isoleucine and Valine Metabolism;alpha-hydroxyisocaproate	0.6807	1.4123	1.1653	0.7525	0.9904	1.0242	1.0042	0.9896	0.7475	0.9036	1.0674	0.9864	2.0116	1.0616	0.6757
Amino Acid;Leucine, Isoleucine and Valine Metabolism;alpha-hydroxyisovalerate	0.781	0.7253	0.5292	0.6942	0.5848	0.642	0.5822	0.699	0.9946	0.7316	1.3282	1.2733	2.8048	1.4578	1.1176
Energy;TCA Cycle;alpha-ketoglutarate	0.9484	1.9483	1.6634	0.911	1.6593	1.3753	2.6217	0.7015	1.5939	4.7405	0.6466	0.7861	1.9444	1.1108	0.7113
Cofactors and Vitamins;Tocopherol Metabolism;alpha-tocopherol	0.9829	1	0.9397	0.7234	0.7989	1.0841	1.0649	0.1914	1.0787	0.9576	0.7155	1.0304	1.0093	1.1984	0.8047
Peptide;Dipeptide Derivative;anserine	1.6831	2.3226	0.8883	24.4736	0.6642	0.7543	1.8072	2.0428	1.0127	1.0841	0.6647	0.3333	1.04	0.9873	0.6539
Carbohydrate;Pentose Metabolism;arabitol/xylitol	1.2199	1.8134	0.8536	0.6813	0.829	0.8216	0.9203	0.6526	0.88	1.8629	1.0342	1.2284	1.5926	1.3941	1.0855
Carbohydrate;Pentose Phosphate Pathway;arabonate/xylonate	1.9825	0.8611	0.5249	0.8461	1.2486	0.6744	1.1902	0.94	1.1647	1.2595	1.0563	1.0165	1.0395	0.9895	1.2699
Lipid;Long Chain Fatty Acid;arachidate (20:0)	0.7692	1.1411	1.124	0.7371	0.9808	0.8427	1.1929	0.9983	1.029	0.8674	0.9475	1.0651	1.3601	0.9508	1.2113
Lipid;Polyunsaturated Fatty Acid (n3 and n6);arachidonate (20:4n6)	0.9074	1.2283	0.8431	0.9671	0.9898	1.06	1.6006	0.3011	1.5497	1.7489	0.7496	0.9236	1.6762	0.7869	0.6891
Amino Acid;Urea cycle, Arginine and Proline Metabolism;arginine	1.0148	1.4059	1.5001	1.0841	1.3657	1.3653	1.7043	1.008	1.5096	1.8559	0.6435	0.7705	0.8009	0.8358	0.741
Amino Acid;Urea cycle, Arginine and Proline Metabolism;argininosuccinate	1.2845	1.1869	1.0469	0.9528	1.0608	0.9531	1.3491	0.749	1.2056	1.6754	0.6986	0.8442	1.0774	1.1271	0.896
Amino Acid;Alanine and Aspartate Metabolism;asparagine	0.8336	1.1774	1.2391	0.7282	1.036	0.7983	1.0546	0.602	0.9985	0.9574	0.9917	1.2789	1.2242	1.049	1.1104
Amino Acid;Alanine and Aspartate Metabolism;aspartate	0.5769	0.7143	0.6296	1.8249	0.6855	0.3752	1.179	0.8374	1.5227	1.0181	0.8512	1.184	2.0433	0.8491	1.3639
Lipid;Fatty Acid, Dicarboxylate;azelate (nonanedioate)	1.1244	0.9729	1.2879	0.9937	0.9642	0.7426	1.0639	0.6724	1.114	0.9119	0.9496	1.0063	1.1755	1.0982	0.919
Lipid;Sphingolipid Metabolism;behenoyl sphingomyelin (d18:1/22:0)*	0.8462	1.3027	1.2024	0.7407	1.3291	1.2302	1.4814	0.6452	1.5092	1.1311	0.8354	0.7859	1.1249	1.1238	0.5876
Xenobiotics;Benzoate Metabolism;benzoate	0.3845	1.2467	1.082	1.8791	1.1068	0.9498	0.9606	0.8002	1.1901	0.8913	1.0644	0.9853	0.8572	0.8295	1.0147
Nucleotide;Pyrimidine Metabolism, Uracil containing;beta-alanine	0.7769	0.8899	0.6696	0.7757	0.6817	0.6188	0.8979	0.6703	1.3403	0.7822	1.18	1.133	1.3588	1.1453	1.435
Amino Acid;Leucine, Isoleucine and Valine Metabolism;beta-hydroxyisovalerate	1.2392	1.0881	0.6651	0.4242	1.1145	0.6444	0.9266	1.1428	0.472	1.1851	0.5839	0.8235	1.9835	1.0734	1.2392
Amino Acid;Leucine, Isoleucine and Valine Metabolism;beta-hydroxyisovaleroylcarnitine	0.6179	0.9458	0.8741	0.6322	0.937	0.9078	0.8945	0.4892	0.8448	0.9376	1.3475	1.6477	2.0027	1.6683	1.3602
Amino Acid;Glycine, Serine and Threonine Metabolism;betaine	1.0007	0.9705	0.8351	1.3031	0.8426	0.8803	0.9314	0.8954	0.9993	1.3766	1.1412	1.1768	1.4151	1.0047	1.0639
Lipid;Primary Bile Acid Metabolism;beta-muricholate	0.0306	2.3202	17.5334	0.1847	0.823	1.9967	1.7943	0.1263	0.2527	7.0996	0.712	0.0727	0.1989	2.2188	5.541
Cofactors and Vitamins;Hemoglobin and Porphyrin Metabolism;bilirubin (Z,Z)	0.7522	0.3592	0.3592	0.3592	0.3592	1	0.3977	0.3592	0.4384	1.1496	0.5675	1.2027	2.4637	1.6266	0.94
Cofactors and Vitamins;Hemoglobin and Porphyrin Metabolism;biliverdin	0.7837	1.3109	1.0091	0.9507	0.9909	0.7837	1.1522	0.7837	0.8133	1.2619	0.7837	0.7837	0.7837	0.7837	0.7837
Lipid;Fatty Acid Metabolism (also BCAA Metabolism);butyrylcarnitine	0.8683	0.8724	0.6775	0.507	0.6189	0.9195	0.8834	0.3352	0.9873	0.7896	1.2625	1.0685	1.2898	1.0127	1.422
Lipid;Fatty Acid Metabolism (also BCAA Metabolism);butyrylglycine	0.9722	0.9777	0.4455	0.4503	0.7848	1.2571	1.1974	1.113	1.4651	0.8549	1.0223	0.755	0.6456	1.3312	1.3987
Lipid;Medium Chain Fatty Acid;caprate (10:0)	0.9616	1.9637	2.5632	0.7427	1.9022	0.9338	1.6803	0.3106	1.3783	1.772	0.7002	0.8432	0.7752	0.6005	1.0384
Lipid;Medium Chain Fatty Acid;caproate (6:0)	0.5726	0.9754	0.7167	0.2325	1.1743	1.0246	1.0469	0.5867	1.1438	1.1493	1.1618	0.7778	0.2325	0.2325	0.8492
Lipid;Medium Chain Fatty Acid;caprylate (8:0)	0.1338	0.8435	0.1338	0.1338	1.0697	0.824	0.5463	0.1338	1.0608	1.0261	0.8428	0.1338	0.1338	0.1338	0.1338
Lipid;Carnitine Metabolism;carnitine	1.0571	1.1345	1.0061	0.6595	0.9292	1.0302	0.815	0.5745	0.7565	0.7398	0.9939	1.0528	0.9864	1.0496	1.0791
Peptide;Dipeptide Derivative;carnosine	2.1301	2.1608	1.0597	6.2971	1.4677	0.7728	0.9876	1.6641	1.1323	1.0124	0.6671	0.2516	0.2952	0.7226	1.1591
Xenobiotics;Benzoate Metabolism;catechol sulfate	0.8637	10.6744	2.2449	0.2523	1.7734	0.9868	0.0257	0.0257	0.0257	0.1771	0.0257	0.2726	0.3776	0.0292	0.0257
Amino Acid;Tryptophan Metabolism;C-glycosyltryptophan	1.0371	0.6922	0.5261	0.8321	0.6645	0.546	0.6161	0.5559	0.6513	0.6415	1.6238	1.3007	1.524	1.511	1.28
Lipid;Primary Bile Acid Metabolism;chenodeoxycholate	0.3468	2.0287	3.7935	0.2343	1.1829	1.0631	1.2686	1.043	1.3618	3.1898	0.6261	0.3257	0.9057	0.7095	0.9809
Lipid;Primary Bile Acid Metabolism;cholate	0.058	1.0029	17.4122	0.226	0.5029	1.0278	1	0.563	0.0489	32.3333	4.576	0.1685	0.7905	8.9038	9.4993
Lipid;Sterol;cholesterol	0.8973	0.9594	0.7883	0.7922	0.977	0.5648	0.652	0.5346	0.7989	0.7104	1.3083	1.4139	1.8772	1.094	1.023
Lipid;Phospholipid Metabolism;choline	0.9046	1.0237	0.7641	0.6479	0.85	1.028	0.745	0.548	0.9522	1.0145	1.0509	1.3463	1.3297	1.2351	1.3664
Lipid;Phospholipid Metabolism;choline phosphate	0.3591	0.8764	0.7206	1.5385	0.6609	0.7329	1.2571	0.7272	2.1194	1.3414	0.8254	1.0684	1.2132	0.7484	1.4968
Xenobiotics;Food Component/Plant;cinnamoylglycine	0.4569	9.7641	1.9529	0.4569	1.1477	0.8523	0.8366	0.4569	1.4242	0.4569	0.4569	0.4569	0.4569	0.4569	0.4569
Lipid;Fatty Acid Metabolism(Acyl Carnitine);cis-4-decenoyl carnitine	0.9042	0.9973	0.7613	0.9894	1.0027	0.2262	0.8015	0.4053	1.2091	1.3501	1.1462	0.9896	1.4622	0.8455	0.7216
Amino Acid;Histidine Metabolism;cis-urocanate	2.2696	0.9609	1.016	5.0577	2.1882	0.9875	0.9997	1.133	1.4077	0.8832	1.1355	0.6591	0.6736	0.57	0.7791
Energy;TCA Cycle;citrate	1.0755	1.1419	1.0207	0.7949	0.9987	0.855	1.0013	0.7887	0.9845	1.0014	0.9005	0.862	1.1222	0.9566	0.8728
Amino Acid;Urea cycle, Arginine and Proline Metabolism;citrulline	1.1694	1.1778	1.1253	0.7682	1.1892	0.8825	1.1081	0.8729	1.1153	1.2405	1.0009	1.0143	0.9822	0.9263	0.9839
Lipid;Steroid;corticosterone	0.337	1.6224	1.3917	0.2001	1.4088	1.4527	2.7627	1.0952	2.3531	2.0935	0.601	0.5687	1.0408	0.5435	0.4947
Amino Acid;Creatine Metabolism;creatine	0.9761	0.8415	0.9805	1.9962	1.0891	1.0187	1.5265	1.0214	1.1094	1.2456	0.7499	0.8347	0.9703	0.9169	0.9347
Amino Acid;Creatine Metabolism;creatinine	1.3397	1.1472	1.0017	0.9983	1.0513	1.0328	1.2046	0.7135	0.9443	1.1411	0.9503	0.9229	1.0903	1.1044	0.9481
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;cystathionine	1.3175	1.038	0.7648	0.7788	1.2165	0.8461	1.1268	0.6222	1.3161	0.9856	1.1284	0.9257	0.9952	0.9179	1.1969
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;cysteine s-sulfate	0.8863	1.3611	1.1493	3.5008	0.6883	1.7544	1.6702	0.4726	0.6411	2.2758	0.7475	1.1675	1.5818	0.7623	0.6216
Amino Acid;Glutathione Metabolism;cysteine-glutathione disulfide	1.0053	1.2225	0.9817	0.4301	0.9384	0.8947	0.889	0.6634	1.3249	1.2077	1.0459	1.0695	0.8332	1.07	1.409
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;cystine	1.2902	1.3825	1.5697	0.4221	1.1012	1.7822	2.0506	0.4156	1.7155	1.6173	1.0277	0.6114	0.4409	0.7997	0.9395
Nucleotide;Pyrimidine Metabolism, Cytidine containing;cytidine	0.6637	0.8518	0.6026	0.5793	0.7652	0.8258	1.0684	0.7398	0.9643	1.2194	0.9313	1.0941	1.6517	1.3324	1.2991
Nucleotide;Pyrimidine Metabolism, Cytidine containing;cytidine 5-monophosphate (5-CMP)	0.3763	0.3763	0.3763	3.2326	0.3763	0.3763	0.9388	3	1.8	0.5789	0.3763	0.3763	1.623	0.3763	0.8112
Nucleotide;Pyrimidine Metabolism, Cytidine containing;cytosine	2.2053	1.6412	2.0257	1.5982	2.2725	0.5896	0.7888	0.6308	0.4334	0.9432	2.2849	0.3931	0.4838	1.3868	2.0054
Lipid;Fatty Acid Metabolism(Acyl Carnitine);decanoylcarnitine	1.0091	1.0797	1.1897	1.2712	1.1991	0.2336	1.0829	0.3296	0.7051	0.9909	0.8719	0.5152	0.8449	0.7322	0.5507
Lipid;Carnitine Metabolism;deoxycarnitine	0.8142	0.9714	0.9968	0.7978	0.647	0.6649	0.9125	0.3779	0.6909	1.071	0.8515	1.2271	1.6311	1.5193	1.1307
Lipid;Secondary Bile Acid Metabolism;deoxycholate	0.461	5.2746	4.4821	1.0048	2.7071	1.3539	2.668	0.4774	2.099	12.6609	0.1134	0.507	1.027	0.5126	0.3539
Lipid;Polyunsaturated Fatty Acid (n3 and n6);dihomo-linoleate (20:2n6)	0.7345	1.1017	1.0848	0.4117	0.9152	0.4608	1.2257	0.2835	1.2794	1.2796	0.8708	0.8484	1.2187	0.679	0.7024
Lipid;Polyunsaturated Fatty Acid (n3 and n6);dihomo-linolenate (20:3n3 or n6)	0.8511	1.2117	1.0718	0.5269	0.9885	0.6732	1.4129	0.2569	1.3214	1.5438	0.8243	0.8572	1.1606	0.6945	0.6343
Cofactors and Vitamins;Tetrahydrobiopterin Metabolism;dihydrobiopterin	0.9112	0.8227	0.6369	0.4462	0.8192	0.8251	0.979	0.4258	0.9096	1.021	1.0914	1.1139	1.3357	1.6228	1.1555
Xenobiotics;Food Component/Plant;dihydroferulic acid	0.9185	1.3688	1.0815	0.37	0.37	0.37	1.3103	0.37	0.37	0.866	0.37	0.37	0.37	0.37	0.37
Nucleotide;Pyrimidine Metabolism, Orotate containing;dihydroorotate	0.866	0.9844	0.5845	0.348	1.7613	0.6471	0.4156	0.8004	0.406	1.0156	1.2111	1.742	2.3827	2.2344	1.2484
Amino Acid;Urea cycle, Arginine and Proline Metabolism;dimethylarginine (SDMA + ADMA)	0.9719	0.7487	0.722	0.4751	0.836	0.7605	0.9107	0.6721	0.9152	1.0281	1.3833	1.3662	1.4673	1.3059	1.1791
Amino Acid;Glycine, Serine and Threonine Metabolism;dimethylglycine	0.986	0.6309	0.4376	0.7695	0.7651	0.7171	0.7794	0.9	0.874	0.9624	1.144	1.0276	1.2145	1.1921	1.0757
Lipid;Polyunsaturated Fatty Acid (n3 and n6);docosadienoate (22:2n6)	0.5064	1.1799	1.0303	0.2693	1.0156	0.3639	0.9505	0.6683	1.1468	1.3711	0.9772	0.739	1.1757	0.4888	0.6479
Lipid;Polyunsaturated Fatty Acid (n3 and n6);docosahexaenoate (DHA, 22:6n3)	0.6417	0.9284	0.7024	0.8128	0.9591	1.1301	1.2405	0.2336	1.2823	1.2667	1.0346	0.9599	2.0437	0.8615	0.8344
Lipid;Polyunsaturated Fatty Acid (n3 and n6);docosapentaenoate (n3 DPA, 22:5n3)	0.5733	1.1119	0.8589	0.636	1.0491	0.9687	1.1941	0.2557	1.2113	1.37	0.8607	0.7988	1.6328	0.7703	0.7053
Lipid;Polyunsaturated Fatty Acid (n3 and n6);docosapentaenoate (n6 DPA, 22:5n6)	0.6847	0.957	1.0486	0.6126	0.9025	0.7277	1.7802	0.2921	1.5279	1.6064	0.8393	0.9419	1.4268	0.7919	0.5453
Lipid;Polyunsaturated Fatty Acid (n3 and n6);docosatrienoate (22:3n3)	0.4842	1	1.236	0.2732	0.8507	0.3876	0.3674	0.4905	1.1279	1.4486	0.2732	0.3255	0.2732	0.4026	0.2732
Lipid;Fatty Acid, Dicarboxylate;dodecanedioate	0.9116	1.5405	1.5681	1.0076	0.9707	0.6911	1.2283	0.7218	1.1453	1.7088	0.7229	0.8096	1.5243	1.1528	0.7093
Xenobiotics;Chemical;EDTA	1.2651	1.5513	1.5272	1.3758	1.2534	1.0266	1.0039	1.4229	1.3284	0.9723	0.7872	0.8261	0.9096	0.7573	0.8705
Lipid;Polyunsaturated Fatty Acid (n3 and n6);eicosapentaenoate (EPA, 20:5n3)	0.7369	1.0413	0.7357	0.6983	0.9094	0.7915	1.0902	0.1336	1.584	1.0792	0.8875	1.0423	1.662	0.6294	0.9977
Lipid;Long Chain Fatty Acid;eicosenoate (20:1)	0.7863	1.1279	1.3534	0.407	0.9903	0.4662	1.0925	0.3196	1.1343	1.1265	0.8856	0.7845	1.0097	0.5321	0.6389
Xenobiotics;Food Component/Plant;equol sulfate	4.8626	17.8684	11.1961	0.3017	1.26	0.8973	2.0467	0.212	1.1634	0.3656	0.1464	0.5514	0.2543	0.1278	0.1221
Xenobiotics;Food Component/Plant;ergothioneine	0.5525	1.0912	0.9964	0.7362	0.8567	0.8629	1.052	0.3587	1.0397	1.3008	1.0331	1.0036	0.8809	1.1177	1.117
Lipid;Long Chain Fatty Acid;erucate (22:1n9)	0.7042	1.218	1.4447	0.3775	1.2277	0.4523	0.8159	0.8132	1.2602	1.1383	0.91	0.7215	1.0568	0.4612	0.6715
Xenobiotics;Food Component/Plant;erythritol	0.967	1.0104	0.5158	0.4923	0.9896	0.6051	0.7561	0.6967	0.6953	0.7711	1.5183	1.2511	1.7661	1.3655	1.1093
Carbohydrate;Aminosugar Metabolism;erythronate*	0.9638	0.8131	0.5752	0.5345	0.7907	0.7152	0.7729	0.6039	0.7585	0.8184	1.6681	1.5132	2.0521	1.5479	1.2824
Amino Acid;Leucine, Isoleucine and Valine Metabolism;ethylmalonate	0.778	0.9554	0.8073	0.5566	0.9559	0.9702	1.108	0.5597	1.1408	1.1089	1.0062	1.0357	1.17	1.2699	0.9938
Xenobiotics;Food Component/Plant;ferulic acid 4-sulfate	1.9776	3.9765	1.1757	0.3303	1.196	0.8671	3.4685	2.1489	1.7584	0.9121	0.1997	0.4977	0.1997	1.5253	0.2836
Cofactors and Vitamins;Riboflavin Metabolism;flavin adenine dinucleotide (FAD)	0.6559	1.0199	0.7669	0.3556	0.7292	0.877	1.147	0.5798	0.9801	0.9366	1.1113	1.02	1.1719	1.1284	1.2161
